city,neighbourhood,room_type,average_price
Rio de Janeiro,Ribeira,Entire place,457
Rio de Janeiro,Portuguesa,Entire place,456.67
Cape Town,Ward 94,Private room,455.17
Istanbul,Maltepe,Entire place,454.08
Cape Town,Ward 23,Shared room,453.75
Rio de Janeiro,Flamengo,Entire place,452.72
Cape Town,Ward 100,Shared room,452.33
Rio de Janeiro,Bangu,Private room,452.29
Istanbul,Bagcilar,Entire place,451.41
Mexico City,Venustiano Carranza,Private room,451.07
Cape Town,Ward 113,Shared room,450
Cape Town,Ward 110,Entire place,450
Cape Town,Ward 67,Shared room,450
Rio de Janeiro,Grajau,Entire place,448.9
Cape Town,Ward 116,Private room,448.33
Cape Town,Ward 27,Private room,447.83
Istanbul,Kartal,Entire place,447.74
Hong Kong,Wan Chai,Shared room,446.5
Cape Town,Ward 7,Private room,442.5
Bangkok,Din Daeng,Shared room,442.09
Hong Kong,Wan Chai,Private room,441.08
Rio de Janeiro,Inhauma,Entire place,441
Cape Town,Ward 17,Private room,437.8
Istanbul,Kadikoy,Entire place,436.11
Mexico City,Cuauhtemoc,Shared room,435.2
Istanbul,Beykoz,Private room,434.45
Bangkok,Don Mueang,Shared room,433.64
Rio de Janeiro,Abolicao,Entire place,433.5
Rio de Janeiro,Praia da Bandeira,Private room,433.33
Rio de Janeiro,Todos os Santos,Private room,431.7
Bangkok,Huai Khwang,Shared room,431.18
Paris,Temple,Hotel room,430.9
Rio de Janeiro,Campo Grande,Private room,430.5
Cape Town,Ward 19,Private room,426.17
Rio de Janeiro,Campinho,Entire place,425.5
Cape Town,Ward 76,Private room,425
Istanbul,Gungoren,Hotel room,424
Istanbul,Bahcelievler,Entire place,423.21
Cape Town,Ward 63,Private room,420.89
Cape Town,Ward 26,Private room,419.94
Rio de Janeiro,Leblon,Private room,419.94
Istanbul,Fatih,Hotel room,419.04
Istanbul,Atasehir,Entire place,418.13
Istanbul,Gungoren,Entire place,417.63
New York,Sea Gate,Entire place,417
Hong Kong,Tai Po,Private room,416.45
Cape Town,Ward 16,Private room,415.5
Rio de Janeiro,Higienopolis,Shared room,410
Sydney,Sutherland Shire,Hotel room,408.67
Bangkok,Pom Prap Sattru Phai,Shared room,406.45
Sydney,Hunters Hill,Entire place,405.31
Hong Kong,Eastern,Shared room,405.17
Cape Town,Ward 107,Shared room,402.5
Sydney,Woollahra,Entire place,402.02
Rio de Janeiro,Paqueta,Entire place,401.95
Rio de Janeiro,Paciencia,Entire place,397.83
Istanbul,Kagithane,Entire place,397.56
New York,Prince's Bay,Entire place,397.5
Cape Town,Ward 49,Private room,394.82
Rio de Janeiro,Olaria,Private room,394
Mexico City,Tlalpan,Shared room,393.26
Sydney,The Hills Shire,Entire place,392.23
Istanbul,Sariyer,Private room,391.55
Rio de Janeiro,Recreio dos Bandeirantes,Shared room,389.43
Rio de Janeiro,Tanque,Entire place,387.25
Rio de Janeiro,Rocinha,Entire place,385.63
Sydney,Manly,Entire place,385.27
Rio de Janeiro,Piedade,Entire place,383.6
Cape Town,Ward 51,Private room,383.33
Hong Kong,Sha Tin,Shared room,379.9
Paris,Elysee,Hotel room,378.09
Hong Kong,Tuen Mun,Shared room,377
Rio de Janeiro,Pechincha,Private room,376.06
Rio de Janeiro,Encantado,Entire place,376
Cape Town,Ward 43,Private room,375.86
Cape Town,Ward 60,Shared room,372.8
Cape Town,Ward 30,Entire place,372.75
Rio de Janeiro,Santa Teresa,Private room,370.49
Rio de Janeiro,Alto da Boa Vista,Private room,369.62
Paris,Hotel-de-Ville,Hotel room,369.35
Mexico City,Iztacalco,Shared room,369.15
Rio de Janeiro,Santo Cristo,Private room,368.63
Mexico City,La Magdalena Contreras,Shared room,365
Istanbul,Buyukcekmece,Hotel room,364.17
Istanbul,Umraniye,Entire place,362.48
Rio de Janeiro,Jardim Sulacap,Private room,361.5
Rio de Janeiro,Sampaio,Private room,361.4
Rio de Janeiro,Ipanema,Hotel room,361
Cape Town,Ward 16,Entire place,360.5
Hong Kong,Eastern,Private room,359.72
Rio de Janeiro,Del Castilho,Entire place,358.63
Rio de Janeiro,Sao Cristovao,Private room,357.66
Rio de Janeiro,Cachambi,Entire place,357.25
Istanbul,Esenyurt,Entire place,356.65
Mexico City,Tlahuac,Private room,355.21
Istanbul,Cekmekoy,Private room,354.83
Sydney,Auburn,Hotel room,354.6
Paris,Buttes-Chaumont,Hotel room,353.91
Istanbul,Eyup,Private room,353.14
Rio de Janeiro,Centro,Shared room,353.06
Rio de Janeiro,Catumbi,Private room,353
Rio de Janeiro,Joa,Private room,350.86
Rio de Janeiro,Estacio,Entire place,350.36
Cape Town,Ward 65,Private room,350
Cape Town,Ward 45,Private room,350
Rio de Janeiro,Deodoro,Entire place,350
Cape Town,Ward 9,Entire place,350
Rio de Janeiro,Cavalcanti,Private room,350
Cape Town,Ward 108,Private room,350
Cape Town,Ward 26,Shared room,350
Rio de Janeiro,Barra de Guaratiba,Private room,348.76
Istanbul,Beyoglu,Private room,348.45
Istanbul,Bakirkoy,Hotel room,347.37
Cape Town,Ward 82,Private room,346.75
Istanbul,Buyukcekmece,Private room,346.45
Istanbul,Sariyer,Shared room,345.42
Cape Town,Ward 92,Private room,345
Cape Town,Ward 115,Shared room,344.76
Rio de Janeiro,Vargem Pequena,Shared room,343
Rio de Janeiro,Senador Vasconcelos,Entire place,342.33
New York,Flatiron District,Entire place,341.61
New York,Upper West Side,Hotel room,341.36
Sydney,Warringah,Entire place,341.22
Istanbul,Arnavutkoy,Private room,339.18
Rio de Janeiro,Iraja,Entire place,338.11
Rio de Janeiro,Gloria,Private room,337.82
Rio de Janeiro,Urca,Private room,336.38
New York,SoHo,Entire place,334.24
Rio de Janeiro,Catete,Entire place,333.51
Bangkok,Bang Kho laen,Shared room,333
Sydney,Penrith,Shared room,332.5
Cape Town,Ward 56,Private room,331.83
Istanbul,Silivri,Private room,330.75
Istanbul,Esenyurt,Hotel room,327.33
Sydney,Waverley,Entire place,325.29
Istanbul,Bagcilar,Private room,325.08
Cape Town,Ward 55,Shared room,325
Rio de Janeiro,Tomas Coelho,Entire place,324
Hong Kong,Wong Tai Sin,Private room,323.67
Istanbul,Beylikduzu,Private room,323.32
Sydney,Botany Bay,Hotel room,321.67
New York,Stuyvesant Town,Entire place,319.17
Istanbul,Atasehir,Hotel room,318.39
Rio de Janeiro,Bonsucesso,Entire place,316.86
Rio de Janeiro,Gavea,Private room,316.36
Sydney,Lane Cove,Entire place,316.24
Rio de Janeiro,Catumbi,Entire place,316
Rio de Janeiro,Manguinhos,Private room,315
Sydney,Holroyd,Private room,314.48
Cape Town,Ward 22,Private room,313.33
Istanbul,Umraniye,Private room,312.51
Istanbul,Zeytinburnu,Hotel room,312
Hong Kong,Wong Tai Sin,Shared room,311.5
Istanbul,Bayrampasa,Entire place,311.1
New York,Lower East Side,Private room,311.03
Rio de Janeiro,Ipanema,Private room,311.03
Rio de Janeiro,Jacare,Private room,310.5
Rio de Janeiro,Cidade de Deus,Private room,310.43
New York,Tottenville,Entire place,309
New York,Willowbrook,Entire place,309
Rio de Janeiro,Campinho,Private room,307.5
Rio de Janeiro,Piedade,Private room,306.67
Rio de Janeiro,Padre Miguel,Entire place,306
Rio de Janeiro,Centro,Entire place,305.95
Rio de Janeiro,Centro,Private room,305.75
Cape Town,Ward 93,Private room,305
Bangkok,Bueng Kum,Shared room,304
New York,Cypress Hills,Entire place,303.52
Rio de Janeiro,Recreio dos Bandeirantes,Private room,301.71
New York,Washington Heights,Shared room,301.64
Rio de Janeiro,Vaz Lobo,Private room,300
Cape Town,Ward 91,Shared room,300
Cape Town,Ward 59,Shared room,300
Cape Town,Ward 81,Shared room,300
Rio de Janeiro,Bento Ribeiro,Private room,300
Cape Town,Ward 75,Private room,300
Cape Town,Ward 12,Private room,300
Rio de Janeiro,Cocota,Private room,298.4
Rio de Janeiro,Freguesia (Jacarepagua),Private room,297.85
Rio de Janeiro,Ramos,Entire place,297.5
New York,Arverne,Entire place,296.43
Sydney,Strathfield,Shared room,295.89
Rio de Janeiro,Maracana,Private room,294.89
New York,Greenwich Village,Entire place,294.83
New York,Flatiron District,Private room,294.46
Rio de Janeiro,Higienopolis,Entire place,294
Rio de Janeiro,Jacarepagua,Private room,293.66
Rio de Janeiro,Iraja,Private room,292.71
Istanbul,Pendik,Hotel room,291.5
New York,Theater District,Hotel room,290.49
New York,Jamaica Estates,Private room,288.86
Istanbul,Bahcelievler,Hotel room,288.5
Rio de Janeiro,Taquara,Private room,287.55
Cape Town,Ward 9,Private room,286.3
Istanbul,Maltepe,Hotel room,283.33
Rio de Janeiro,Jardim Botanico,Private room,283.07
Cape Town,Ward 6,Private room,282.5
Rio de Janeiro,Jardim Guanabara,Entire place,282.1
Paris,Louvre,Hotel room,280.47
Rio de Janeiro,Ribeira,Private room,280
Istanbul,Besiktas,Private room,279.69
Sydney,Mosman,Hotel room,279.5
New York,Hell's Kitchen,Hotel room,278.57
Istanbul,Umraniye,Shared room,278.25
Rio de Janeiro,Olaria,Entire place,276.67
Rio de Janeiro,Tijuca,Shared room,275.83
Hong Kong,Sham Shui Po,Private room,275.7
Paris,Bourse,Hotel room,275.41
Cape Town,Ward 58,Shared room,274.5
Rio de Janeiro,Engenho de Dentro,Private room,274.15
New York,Bayside,Entire place,274.06
Rio de Janeiro,Cosmos,Private room,274
Rio de Janeiro,Saude,Shared room,274
Rio de Janeiro,Camorim,Shared room,274
Sydney,Sutherland Shire,Entire place,272.43
Istanbul,Tuzla,Private room,272.35
New York,Roosevelt Island,Entire place,270.63
Rio de Janeiro,Rio Comprido,Shared room,270.25
Istanbul,Sultanbeyli,Entire place,269.69
Paris,Palais-Bourbon,Hotel room,269.49
Rio de Janeiro,Anil,Private room,269.26
Sydney,Liverpool,Shared room,268.5
New York,Theater District,Entire place,268.41
Rio de Janeiro,Leme,Private room,267.88
Istanbul,Bakirkoy,Private room,266.67
New York,Financial District,Hotel room,263.32
Rio de Janeiro,Pavuna,Private room,262
Mexico City,Xochimilco,Shared room,261.33
Sydney,Randwick,Entire place,260.68
Istanbul,Sisli,Private room,260.44
Rio de Janeiro,Barra da Tijuca,Hotel room,260.44
Rio de Janeiro,Campo Grande,Shared room,260
Istanbul,Kadikoy,Hotel room,259
Istanbul,Bagcilar,Shared room,258.38
Rio de Janeiro,Guadalupe,Entire place,258
New York,Tremont,Entire place,257.67
Sydney,Leichhardt,Entire place,257.46
Rio de Janeiro,Cosme Velho,Private room,256.53
Cape Town,Ward 64,Shared room,255.83
New York,Woodrow,Entire place,255
Istanbul,Fatih,Shared room,254.79
Istanbul,Beylikduzu,Shared room,254.5
New York,Holliswood,Entire place,254.5
New York,Kips Bay,Shared room,254.25
Rio de Janeiro,Pilares,Entire place,252.67
New York,Upper West Side,Entire place,252.33
Rio de Janeiro,Sampaio,Entire place,251.67
Rio de Janeiro,Santissimo,Entire place,251.33
Paris,Gobelins,Hotel room,250.67
New York,Randall Manor,Private room,250.5
Cape Town,Ward 30,Private room,250
Rio de Janeiro,Vasco da Gama,Entire place,250
Sydney,Pittwater,Shared room,250
Rio de Janeiro,Engenho da Rainha,Private room,250
Rio de Janeiro,Acari,Entire place,250
Cape Town,Ward 92,Shared room,250
New York,Midtown,Hotel room,247.65
Rio de Janeiro,Flamengo,Private room,247.49
Sydney,Willoughby,Entire place,247.16
Rio de Janeiro,Tijuca,Private room,246.08
Rio de Janeiro,Ipanema,Shared room,245.75
New York,Sheepshead Bay,Entire place,245.46
Rio de Janeiro,Vargem Grande,Shared room,245.33
Rio de Janeiro,Maracana,Shared room,245.29
Rio de Janeiro,Gardenia Azul,Private room,245
New York,Civic Center,Entire place,244.5
Sydney,North Sydney,Entire place,243.95
Rio de Janeiro,Penha,Private room,243.73
Rio de Janeiro,Paqueta,Private room,243.17
Sydney,Hornsby,Entire place,242.97
Rio de Janeiro,Saude,Entire place,242.75
Istanbul,Sancaktepe,Entire place,240.85
New York,Midtown,Entire place,240.82
Cape Town,Ward 78,Private room,240
New York,Vinegar Hill,Entire place,239.78
New York,Long Island City,Shared room,239.55
Rio de Janeiro,Jacarepagua,Shared room,239.39
New York,Theater District,Private room,237.73
Rio de Janeiro,Meier,Private room,237.29
New York,DUMBO,Entire place,237.25
Paris,Passy,Hotel room,237.12
Rio de Janeiro,Pechincha,Shared room,236.5
Istanbul,Umraniye,Hotel room,236
New York,NoHo,Entire place,235.56
Rio de Janeiro,Leme,Shared room,234.95
New York,SoHo,Hotel room,233.95
New York,Chelsea,Entire place,233.9
Sydney,Sydney,Hotel room,233.73
Istanbul,Besiktas,Shared room,233.22
Istanbul,Maltepe,Shared room,233.07
New York,Long Island City,Entire place,232.3
Cape Town,Ward 83,Shared room,232
New York,West Village,Entire place,231.82
Rio de Janeiro,Cascadura,Entire place,231.5
Istanbul,Avcilar,Shared room,231
New York,Woodlawn,Entire place,230.75
New York,West Village,Shared room,230
Istanbul,Uskudar,Private room,228.52
Rio de Janeiro,Sao Francisco Xavier,Private room,228.38
Sydney,Ku-Ring-Gai,Entire place,228.19
New York,Gramercy,Entire place,228.19
Rio de Janeiro,Parada de Lucas,Entire place,227.2
Istanbul,Sisli,Shared room,227.07
Istanbul,Bahcelievler,Shared room,226.33
Rio de Janeiro,Saude,Hotel room,226
Istanbul,Kagithane,Private room,225.12
New York,Civic Center,Shared room,225
Sydney,Penrith,Entire place,223.9
Rio de Janeiro,Barros Filho,Private room,223.33
Istanbul,Pendik,Private room,222.96
New York,Clinton Hill,Entire place,222.44
Rio de Janeiro,Grajau,Private room,221.81
New York,Lower East Side,Entire place,221.76
Rio de Janeiro,Lins de Vasconcelos,Private room,221.38
Rio de Janeiro,Botafogo,Private room,220.45
Sydney,Burwood,Hotel room,220
Istanbul,Bayrampasa,Shared room,219.4
Cape Town,Ward 57,Shared room,219
Rio de Janeiro,Centro,Hotel room,218.9
New York,Nolita,Entire place,218.46
New York,Flushing,Shared room,218.29
Rio de Janeiro,Santa Cruz,Private room,218.25
Rio de Janeiro,Camorim,Private room,217.91
New York,Jamaica Estates,Entire place,216.8
Istanbul,Bayrampasa,Private room,216.64
Rio de Janeiro,Catete,Shared room,216.56
Sydney,Sydney,Entire place,216.52
New York,Chinatown,Entire place,215.91
Rio de Janeiro,Vargem Grande,Private room,213.5
Rio de Janeiro,Laranjeiras,Private room,212.94
Sydney,City Of Kogarah,Entire place,211.97
Paris,Palais-Bourbon,Private room,211.48
Sydney,Ku-Ring-Gai,Hotel room,211.25
New York,Far Rockaway,Entire place,211.14
Istanbul,Sancaktepe,Shared room,210.17
Istanbul,Esenyurt,Private room,210.04
Rio de Janeiro,Cascadura,Private room,210
New York,Lighthouse Hill,Entire place,210
Hong Kong,Tsuen Wan,Shared room,210
Rio de Janeiro,Taua,Entire place,210
Rio de Janeiro,Rio Comprido,Private room,209.86
New York,Boerum Hill,Entire place,209.17
Rio de Janeiro,Santa Teresa,Hotel room,208.35
New York,Battery Park City,Entire place,207.68
Rio de Janeiro,Vidigal,Private room,206.63
New York,East Village,Entire place,206.28
New York,Van Nest,Entire place,205
New York,Morris Heights,Entire place,204.83
New York,Financial District,Entire place,204.09
Istanbul,Atasehir,Private room,203.89
New York,Hell's Kitchen,Entire place,203.45
Rio de Janeiro,Vila Valqueire,Private room,203.22
Paris,Pantheon,Hotel room,203.05
New York,Holliswood,Private room,203
Rio de Janeiro,Encantado,Shared room,203
Rio de Janeiro,Inhauma,Private room,202.5
Paris,Menilmontant,Hotel room,201.5
Rio de Janeiro,Tanque,Private room,201.14
Cape Town,Ward 94,Entire place,200
New York,Red Hook,Shared room,200
New York,Springfield Gardens,Shared room,200
Rio de Janeiro,Marechal Hermes,Entire place,200
New York,Brighton Beach,Shared room,200
New York,Belle Harbor,Entire place,200
Sydney,Canada Bay,Entire place,199.94
New York,Columbia St,Entire place,199.62
Istanbul,Maltepe,Private room,199.47
Paris,Luxembourg,Hotel room,199.41
Rio de Janeiro,Higienopolis,Private room,199.33
Rio de Janeiro,Rocha,Private room,199
Rio de Janeiro,Guadalupe,Private room,197.67
Rio de Janeiro,Del Castilho,Private room,197.4
Paris,Batignolles-Monceau,Hotel room,195.88
Rio de Janeiro,Curicica,Private room,195.86
Paris,Elysee,Entire place,195.59
New York,Brooklyn Heights,Entire place,195.4
New York,Carroll Gardens,Entire place,195.08
New York,Midtown,Private room,194.7
New York,Kips Bay,Entire place,194.28
Istanbul,Kadikoy,Private room,194.12
New York,Greenpoint,Hotel room,193
Paris,Popincourt,Hotel room,192.8
Rio de Janeiro,Rocha Miranda,Private room,192.5
New York,Park Slope,Entire place,192
Sydney,Holroyd,Entire place,191.97
New York,Eastchester,Entire place,191.89
Istanbul,Gaziosmanpasa,Private room,191.19
Rio de Janeiro,Catete,Private room,190.58
New York,Prospect Heights,Entire place,190.55
New York,Brownsville,Entire place,190.21
New York,Cobble Hill,Entire place,189.81
New York,Lower East Side,Hotel room,189.71
New York,Upper East Side,Entire place,189.21
New York,Murray Hill,Entire place,188.9
Rio de Janeiro,Rocha,Shared room,188.67
New York,Eltingville,Entire place,188
Sydney,Blacktown,Entire place,187.56
Rio de Janeiro,Botafogo,Shared room,186.94
Sydney,Bankstown,Entire place,186.74
Rio de Janeiro,Pedra de Guaratiba,Private room,186.67
New York,Forest Hills,Entire place,186.16
Rio de Janeiro,Vila Isabel,Private room,186.04
New York,Williamsburg,Entire place,186.01
New York,Fort Greene,Entire place,185.02
Rio de Janeiro,Olaria,Shared room,185
New York,Stapleton,Entire place,184.5
Sydney,Botany Bay,Entire place,184.44
Istanbul,Sultanbeyli,Private room,183
Istanbul,Bahcelievler,Private room,182.67
New York,Red Hook,Entire place,182.04
Istanbul,Beyoglu,Shared room,181.93
Rio de Janeiro,Pilares,Private room,181.6
Paris,Opera,Hotel room,181.54
New York,Queens Village,Entire place,180.97
Rio de Janeiro,Bento Ribeiro,Entire place,180.67
New York,Gowanus,Entire place,180.6
Sydney,Camden,Entire place,180.35
Rio de Janeiro,Jardim Sulacap,Shared room,180
New York,Huguenot,Entire place,180
Rio de Janeiro,Cocota,Entire place,180
Cape Town,Ward 50,Private room,180
Istanbul,Tuzla,Hotel room,180
Rio de Janeiro,Agua Santa,Entire place,180
Cape Town,Ward 29,Shared room,180
Rio de Janeiro,Praca da Bandeira,Private room,179.8
New York,Fort Hamilton,Shared room,179
Rio de Janeiro,Humaita,Shared room,178.5
New York,Belle Harbor,Private room,178
Rio de Janeiro,Vigario Geral,Entire place,177
New York,Bay Terrace,Entire place,176
Sydney,Rockdale,Entire place,175.44
Rio de Janeiro,Bancarios,Entire place,175
Rio de Janeiro,Inhoaiba,Private room,175
Rio de Janeiro,Grajau,Shared room,175
New York,Flushing,Entire place,174.78
Paris,Elysee,Private room,173.67
Paris,Louvre,Entire place,173.63
Rio de Janeiro,Madureira,Entire place,173.4
New York,East Harlem,Entire place,172.88
Rio de Janeiro,Humaita,Private room,172.05
Rio de Janeiro,Penha,Entire place,172
New York,South Slope,Entire place,171.37
Sydney,Marrickville,Entire place,170.88
New York,Allerton,Entire place,170.5
Sydney,Liverpool,Entire place,170.47
New York,Middle Village,Entire place,169.78
Sydney,Woollahra,Private room,169.75
New York,Sunset Park,Entire place,169.61
Rio de Janeiro,Lagoa,Shared room,169.5
New York,Fresh Meadows,Entire place,169.5
Istanbul,Avcilar,Hotel room,168.33
Paris,Passy,Entire place,167.15
Rio de Janeiro,Andarai,Private room,166.6
Rio de Janeiro,Cidade Universitaria,Entire place,166.33
Istanbul,Buyukcekmece,Shared room,166
New York,Grymes Hill,Entire place,165.67
Sydney,Willoughby,Private room,165.28
Paris,Observatoire,Hotel room,164.9
New York,St. Albans,Entire place,164.44
Rio de Janeiro,Riachuelo,Private room,164.38
New York,Edgemere,Entire place,164.2
New York,Little Italy,Entire place,164.15
New York,Greenpoint,Entire place,163.9
New York,Unionport,Entire place,163.5
Sydney,Ashfield,Entire place,163.31
New York,Elmhurst,Entire place,163.13
Istanbul,Kartal,Private room,163.08
New York,Brooklyn Heights,Private room,162.9
New York,Astoria,Entire place,162.47
New York,Harlem,Entire place,162.13
Istanbul,Sultangazi,Private room,161.56
New York,Cambria Heights,Entire place,161.5
Paris,Luxembourg,Entire place,161.5
Istanbul,Pendik,Shared room,160.93
New York,Bay Ridge,Entire place,160.81
New York,Rego Park,Entire place,160.8
New York,Randall Manor,Entire place,160.56
New York,Downtown Brooklyn,Entire place,160.31
Rio de Janeiro,Engenho Novo,Private room,160.17
Sydney,Hurstville,Entire place,160.13
Rio de Janeiro,Zumbi,Entire place,160
Sydney,Auburn,Private room,159.79
Istanbul,Uskudar,Shared room,159.65
Rio de Janeiro,Botafogo,Hotel room,159.43
Rio de Janeiro,Vasco da Gama,Private room,159.2
Istanbul,Esenyurt,Shared room,158.78
Rio de Janeiro,Urca,Shared room,158.67
Sydney,Pittwater,Private room,158.66
Sydney,Auburn,Entire place,158.65
Rio de Janeiro,Vila Isabel,Shared room,158
New York,Greenwich Village,Private room,157.96
Sydney,Ryde,Entire place,157.7
New York,Wakefield,Entire place,157.61
New York,Rockaway Beach,Entire place,156.91
Istanbul,Bakirkoy,Shared room,156.9
New York,Crown Heights,Entire place,156.45
Sydney,Strathfield,Entire place,156.38
New York,College Point,Entire place,156.38
Rio de Janeiro,Penha Circular,Entire place,155.67
New York,Windsor Terrace,Entire place,155.48
Paris,Enclos-St-Laurent,Hotel room,155.36
New York,Flatbush,Entire place,154.87
New York,Edenwald,Entire place,154.8
Istanbul,Tuzla,Shared room,154.25
Istanbul,Eyup,Shared room,154.2
New York,Howard Beach,Entire place,153.64
New York,Bedford-Stuyvesant,Entire place,153.48
Sydney,Sydney,Private room,152.87
New York,Howland Hook,Entire place,152.5
Istanbul,Avcilar,Private room,152.17
New York,Morningside Heights,Entire place,151.91
New York,City Island,Entire place,151.88
New York,Fordham,Entire place,151.2
New York,Whitestone,Entire place,151.2
Paris,Bourse,Entire place,150.91
New York,Jamaica,Entire place,150.63
Rome,X Ostia/Acilia,Shared room,150.2
Istanbul,Sultangazi,Shared room,150
Rio de Janeiro,Magalhaes Bastos,Entire place,150
Rio de Janeiro,Mare,Private room,150
Rio de Janeiro,Alto da Boa Vista,Shared room,150
New York,Pelham Bay,Shared room,150
New York,Corona,Entire place,149.57
New York,Tribeca,Private room,148.48
Istanbul,Gaziosmanpasa,Hotel room,148
Rio de Janeiro,Vila da Penha,Private room,147.67
Rio de Janeiro,Praca da Bandeira,Shared room,147.67
New York,Pelham Bay,Entire place,147.13
New York,Jamaica Hills,Entire place,145.75
Paris,Palais-Bourbon,Entire place,145.62
New York,Kensington,Entire place,145.35
New York,Canarsie,Shared room,145
New York,Shore Acres,Entire place,145
New York,Navy Yard,Entire place,144.5
New York,Chinatown,Hotel room,144.5
Sydney,Canterbury,Entire place,144.46
New York,Port Morris,Entire place,144.17
Istanbul,Esenler,Private room,144.04
Rio de Janeiro,Freguesia (Jacarepagua),Shared room,143.8
Sydney,Randwick,Hotel room,143.61
Sydney,Parramatta,Entire place,143.6
Paris,Hotel-de-Ville,Entire place,143.44
Rio de Janeiro,Estacio,Private room,142.85
Paris,Vaugirard,Hotel room,142.54
Istanbul,Kadikoy,Shared room,142.38
New York,Maspeth,Entire place,142.14
Paris,Buttes-Montmartre,Hotel room,142.09
Sydney,Waverley,Hotel room,142
New York,Bellerose,Entire place,141
New York,Bushwick,Entire place,140.79
Sydney,Mosman,Private room,140.36
Rio de Janeiro,Complexo do Alemao,Private room,140
New York,Fort Greene,Shared room,140
Sydney,Burwood,Entire place,139.97
New York,West Brighton,Entire place,139.8
New York,Greenwich Village,Hotel room,139.5
New York,Prospect-Lefferts Gardens,Entire place,139.06
Sydney,Hunters Hill,Private room,139
Paris,Temple,Entire place,138.81
Paris,Louvre,Private room,138.22
New York,Woodside,Entire place,137.77
Rio de Janeiro,Monero,Private room,137.5
Sydney,Botany Bay,Shared room,137.38
New York,Kew Gardens,Entire place,136.9
Istanbul,Kucukcekmece,Shared room,136.67
Rio de Janeiro,Pitangueiras,Entire place,136.5
New York,Richmond Hill,Entire place,136.11
Rio de Janeiro,Abolicao,Shared room,136
Rio de Janeiro,Lins de Vasconcelos,Entire place,135.83
New York,West Village,Private room,135.24
New York,Two Bridges,Entire place,135
New York,Midland Beach,Entire place,135
Rio de Janeiro,Marechal Hermes,Shared room,135
New York,Westerleigh,Entire place,134.5
Sydney,Ashfield,Private room,134.45
New York,Fort Hamilton,Entire place,134.07
Istanbul,Kagithane,Shared room,134
New York,Canarsie,Entire place,133.97
New York,Springfield Gardens,Entire place,133.68
New York,Murray Hill,Private room,133.13
Sydney,North Sydney,Private room,132.93
Rio de Janeiro,Jardim Guanabara,Private room,132.84
Rio de Janeiro,Sao Francisco Xavier,Shared room,132.5
New York,Williamsbridge,Entire place,132.47
Rome,I Centro Storico,Entire place,132.07
Rio de Janeiro,Cidade Nova,Private room,132
New York,Washington Heights,Entire place,131.4
New York,SoHo,Private room,131.32
New York,Brighton Beach,Entire place,130.58
Rio de Janeiro,Cordovil,Private room,130.5
Rio de Janeiro,Santissimo,Private room,130.4
Rio de Janeiro,Jardim Guanabara,Shared room,130
New York,New Dorp Beach,Entire place,130
New York,NoHo,Private room,130
Istanbul,Sultanbeyli,Shared room,130
New York,Rosebank,Entire place,130
Sydney,Fairfield,Entire place,129.81
New York,Mount Hope,Entire place,129.67
New York,East Flatbush,Entire place,129.61
Paris,Hotel-de-Ville,Private room,129.58
New York,Parkchester,Entire place,129.56
New York,Bergen Beach,Entire place,129.5
Paris,Observatoire,Private room,129.39
Rio de Janeiro,Pitangueiras,Private room,128.5
New York,Oakwood,Private room,128
Rio de Janeiro,Bras de Pina,Private room,127.93
New York,Sunnyside,Entire place,127.76
New York,Tompkinsville,Entire place,127.13
Sydney,Campbelltown,Private room,127.05
Rio de Janeiro,Vila da Penha,Shared room,127
