city,neighbourhood,total_count
Rome,I Centro Storico,9790
Paris,Buttes-Montmartre,6406
Rio de Janeiro,Copacabana,6226
Paris,Popincourt,5516
Sydney,Sydney,4857
Mexico City,Cuauhtemoc,4577
Istanbul,Beyoglu,4131
Rome,I Centro Storico,4131
Paris,Vaugirard,4125
Paris,Enclos-St-Laurent,3972
Paris,Batignolles-Monceau,3732
Paris,Menilmontant,3171
Sydney,Waverley,3149
Paris,Buttes-Chaumont,3050
Sydney,Sydney,2876
Paris,Passy,2809
Mexico City,Cuauhtemoc,2754
Paris,Temple,2718
Cape Town,Ward 115,2712
Paris,Opera,2518
Paris,Reuilly,2244
Istanbul,Beyoglu,2201
Rio de Janeiro,Ipanema,2188
Rio de Janeiro,Barra da Tijuca,2074
Paris,Observatoire,2073
Cape Town,Ward 54,2051
Mexico City,Miguel Hidalgo,2045
Hong Kong,Yau Tsim Mong,1978
Istanbul,Sisli,1976
Paris,Bourse,1940
Paris,Gobelins,1801
Paris,Pantheon,1799
Paris,Hotel-de-Ville,1786
Sydney,Randwick,1703
Istanbul,Fatih,1694
Bangkok,Khlong Toei,1659
Paris,Luxembourg,1617
Mexico City,Benito Juarez,1578
Bangkok,Vadhana,1550
Paris,Palais-Bourbon,1525
Sydney,Waverley,1503
Mexico City,Benito Juarez,1488
New York,Bedford-Stuyvesant,1456
Istanbul,Sisli,1389
Paris,Elysee,1387
New York,Williamsburg,1369
Rio de Janeiro,Copacabana,1359
New York,Williamsburg,1339
Istanbul,Kadikoy,1317
Sydney,Warringah,1317
Sydney,Randwick,1249
Sydney,Manly,1248
Istanbul,Fatih,1222
New York,Bedford-Stuyvesant,1201
Paris,Louvre,1189
Mexico City,Miguel Hidalgo,1178
New York,Bushwick,1148
Rome,VII San Giovanni/Cinecitta,1142
Rome,II Parioli/Nomentano,1128
New York,Harlem,1120
Rome,XIII Aurelia,1105
Sydney,Pittwater,1075
Mexico City,Coyoacan,1051
Bangkok,Huai Khwang,1044
New York,Upper East Side,1043
Rio de Janeiro,Leblon,1017
Sydney,Woollahra,970
New York,Hell's Kitchen,969
Rio de Janeiro,Jacarepagua,969
New York,Upper West Side,941
Cape Town,Ward 77,937
New York,Midtown,921
Rio de Janeiro,Recreio dos Bandeirantes,884
Rome,I Centro Storico,872
Rome,XII Monte Verde,863
Istanbul,Kadikoy,850
Rome,VII San Giovanni/Cinecitta,837
Istanbul,Besiktas,834
Cape Town,Ward 23,831
New York,East Village,828
New York,Harlem,826
Bangkok,Ratchathewi,819
Sydney,North Sydney,808
Hong Kong,Wan Chai,801
Rio de Janeiro,Botafogo,796
Cape Town,Ward 74,775
Rome,II Parioli/Nomentano,770
Istanbul,Besiktas,738
Cape Town,Ward 64,735
Paris,Buttes-Montmartre,726
Hong Kong,Yau Tsim Mong,723
Bangkok,Vadhana,681
Cape Town,Ward 61,663
Rio de Janeiro,Barra da Tijuca,611
Paris,Buttes-Chaumont,601
Paris,Popincourt,594
Rome,V Prenestino/Centocelle,594
New York,Chelsea,593
Rio de Janeiro,Centro,572
Sydney,Marrickville,571
Sydney,Leichhardt,569
New York,Crown Heights,566
Paris,Vaugirard,563
Mexico City,Coyoacan,563
New York,Crown Heights,552
Paris,Menilmontant,547
Mexico City,Tlalpan,542
Paris,Enclos-St-Laurent,538
Bangkok,Sathon,535
Bangkok,Khlong Toei,535
Sydney,Marrickville,524
Hong Kong,Wan Chai,520
Istanbul,Esenyurt,511
Mexico City,A�lvaro Obregon,504
Hong Kong,Central & Western,504
Bangkok,Bang Rak,497
New York,Bushwick,497
New York,West Village,496
Istanbul,Uskudar,493
Rome,XIII Aurelia,492
Sydney,Rockdale,491
New York,Greenpoint,491
New York,Hell's Kitchen,481
Cape Town,Ward 62,480
Paris,Batignolles-Monceau,480
New York,East Village,478
New York,Upper West Side,472
Bangkok,Phra Nakhon,455
Cape Town,Ward 115,454
Mexico City,A�lvaro Obregon,453
Rome,V Prenestino/Centocelle,450
Paris,Opera,448
Cape Town,Ward 54,447
Rio de Janeiro,Santa Teresa,437
Paris,Gobelins,436
Rome,VIII Appia Antica,435
Rome,X Ostia/Acilia,432
New York,Midtown,431
Rio de Janeiro,Flamengo,424
Bangkok,Phra Khanong,423
Cape Town,Ward 59,420
Rome,XII Monte Verde,416
Bangkok,Bang Rak,416
New York,Astoria,410
New York,Washington Heights,404
Sydney,Woollahra,396
Rio de Janeiro,Santa Teresa,393
New York,Lower East Side,392
Bangkok,Huai Khwang,391
Cape Town,Ward 55,386
Rio de Janeiro,Botafogo,386
Hong Kong,Central & Western,382
Rio de Janeiro,Leme,381
Sydney,Warringah,380
Sydney,Botany Bay,378
Sydney,Mosman,377
Sydney,Manly,374
Bangkok,Ratchathewi,374
Sydney,Sutherland Shire,367
New York,East Harlem,362
Paris,Observatoire,359
Paris,Reuilly,359
Rome,XIV Monte Mario,358
Cape Town,Ward 107,355
Sydney,North Sydney,355
Rio de Janeiro,Ipanema,355
Bangkok,Bang Na,348
New York,East Harlem,347
Bangkok,Chatu Chak,346
Cape Town,Ward 69,343
Rome,VIII Appia Antica,342
Istanbul,Kagithane,336
New York,Murray Hill,334
Bangkok,Parthum Wan,333
Sydney,Rockdale,332
Rome,XV Cassia/Flaminia,330
Istanbul,Fatih,326
Mexico City,Cuajimalpa de Morelos,323
Sydney,Ryde,317
Rio de Janeiro,Jacarepagua,316
Sydney,Parramatta,302
Paris,Passy,302
Rome,IV Tiburtina,301
New York,Greenpoint,300
New York,Woodside,299
Rome,XI Arvalia/Portuense,298
Bangkok,Din Daeng,298
New York,Kips Bay,298
Cape Town,Ward 57,286
Sydney,Willoughby,285
Istanbul,Kagithane,282
Mexico City,Tlalpan,279
Rio de Janeiro,Tijuca,277
New York,Upper East Side,276
New York,Lower East Side,275
Cape Town,Ward 77,274
Rio de Janeiro,Recreio dos Bandeirantes,272
Bangkok,Chatu Chak,268
Cape Town,Ward 58,267
Paris,Luxembourg,267
Bangkok,Sathon,266
New York,Park Slope,266
New York,Financial District,263
New York,Clinton Hill,260
Sydney,Ryde,258
Cape Town,Ward 15,257
New York,Chelsea,255
Bangkok,Suanluang,253
Bangkok,Khlong San,249
Bangkok,Phra Khanong,249
New York,Flushing,248
Paris,Pantheon,248
Bangkok,Phaya Thai,247
Sydney,Leichhardt,247
New York,Fort Greene,246
Cape Town,Ward 71,246
Istanbul,Basaksehir,240
Rio de Janeiro,Laranjeiras,240
Sydney,Sydney,239
New York,Astoria,238
Mexico City,Venustiano Carranza,234
New York,East Flatbush,234
Sydney,Botany Bay,234
Rome,III Monte Sacro,234
Sydney,Hornsby,231
Bangkok,Din Daeng,227
Cape Town,Ward 100,227
Istanbul,Maltepe,226
Rome,XI Arvalia/Portuense,225
New York,Financial District,225
New York,Flatbush,224
Rome,IV Tiburtina,219
Mexico City,Gustavo A. Madero,218
Sydney,Parramatta,217
Cape Town,Ward 84,216
Rome,IX Eur,214
Bangkok,Phaya Thai,213
Bangkok,Bang Na,212
Sydney,Canterbury,212
Sydney,Blacktown,211
Istanbul,Atasehir,208
Istanbul,Beyoglu,207
Cape Town,Ward 83,206
Cape Town,Ward 23,205
New York,Washington Heights,204
Hong Kong,Islands,203
Rome,XIV Monte Mario,202
Istanbul,Uskudar,201
Rio de Janeiro,Lagoa,200
Sydney,Auburn,198
Paris,Bourse,197
Rio de Janeiro,Camorim,196
Cape Town,Ward 57,196
Mexico City,Venustiano Carranza,195
New York,Ridgewood,194
New York,Flatbush,194
Bangkok,Khlong San,194
Paris,Elysee,193
Sydney,Hornsby,192
New York,Long Island City,191
Cape Town,Ward 74,191
Sydney,Canada Bay,191
New York,Prospect-Lefferts Gardens,191
Bangkok,Suanluang,190
Rome,X Ostia/Acilia,189
Mexico City,Iztapalapa,188
Sydney,Canada Bay,188
Cape Town,Ward 64,187
New York,Greenwich Village,185
Hong Kong,Yau Tsim Mong,185
New York,Elmhurst,183
Istanbul,Esenyurt,183
Sydney,Willoughby,183
Paris,Opera,181
Paris,Temple,180
Rio de Janeiro,Laranjeiras,179
New York,Sunnyside,179
Bangkok,Bang Kapi,178
New York,SoHo,177
Rio de Janeiro,Tijuca,177
Cape Town,Ward 73,177
Paris,Elysee,177
Mexico City,Cuauhtemoc,176
Bangkok,Bang Sue,175
Sydney,Bankstown,175
Mexico City,Cuajimalpa de Morelos,175
Rio de Janeiro,Flamengo,175
Istanbul,Bagcilar,174
Sydney,The Hills Shire,172
Rome,III Monte Sacro,170
Rio de Janeiro,Catete,170
Hong Kong,Kowloon City,166
New York,Prospect-Lefferts Gardens,165
Sydney,Auburn,165
Cape Town,Ward 107,164
Cape Town,Ward 4,164
Paris,Palais-Bourbon,161
Istanbul,Sariyer,161
New York,Gramercy,161
Bangkok,Parthum Wan,161
Cape Town,Ward 113,161
Sydney,Lane Cove,159
Istanbul,Atasehir,158
Rio de Janeiro,Centro,158
New York,Sunset Park,157
New York,Long Island City,156
New York,Clinton Hill,156
Paris,Hotel-de-Ville,155
Bangkok,Vadhana,155
Sydney,Ku-Ring-Gai,153
Hong Kong,Yau Tsim Mong,152
New York,Chinatown,152
Rome,XV Cassia/Flaminia,152
New York,Jackson Heights,151
Bangkok,Khlong Toei,149
Sydney,Burwood,149
Istanbul,Sariyer,148
Istanbul,Bakirkoy,148
Sydney,Ku-Ring-Gai,147
Rio de Janeiro,Gloria,147
Cape Town,Ward 61,146
New York,South Slope,146
Bangkok,Bang Kapi,144
Mexico City,Azcapotzalco,144
Hong Kong,Eastern,143
Bangkok,Thon buri,143
Rio de Janeiro,Leblon,143
Bangkok,Phra Nakhon,142
Mexico City,Iztacalco,142
New York,Sunset Park,142
Istanbul,Maltepe,142
Mexico City,Gustavo A. Madero,140
Sydney,Sutherland Shire,139
Sydney,City Of Kogarah,139
Bangkok,Don Mueang,139
New York,Prospect Heights,138
Rome,VI Roma delle Torri,138
New York,Nolita,138
Bangkok,Yan na wa,138
Paris,Louvre,138
Cape Town,Ward 1,137
Istanbul,Bahcelievler,137
Bangkok,Bang Phlat,136
Hong Kong,Kowloon City,136
Istanbul,Beyoglu,135
New York,East Flatbush,135
Rio de Janeiro,Gavea,134
New York,Carroll Gardens,132
New York,Morningside Heights,130
Istanbul,Avcilar,129
Rio de Janeiro,Jardim Botanico,128
Cape Town,Ward 113,127
Sydney,Ashfield,127
Cape Town,Ward 62,127
Istanbul,Pendik,126
Rio de Janeiro,Sao Conrado,125
Istanbul,Adalar,124
New York,Theater District,124
New York,Ditmars Steinway,123
Cape Town,Ward 59,122
Hong Kong,North,122
New York,Tribeca,121
Sydney,Ashfield,121
Istanbul,Umraniye,119
Mexico City,Cuauhtemoc,119
Sydney,The Hills Shire,119
Bangkok,Lat Krabang,118
Bangkok,Lat Krabang,118
Bangkok,Phra Nakhon,117
Sydney,Canterbury,115
Sydney,Strathfield,113
Cape Town,Ward 53,113
Bangkok,Bangkok Noi,113
Cape Town,Ward 4,112
Istanbul,Eyup,111
Paris,Luxembourg,111
Rio de Janeiro,Copacabana,110
Hong Kong,Eastern,110
Cape Town,Ward 100,110
New York,Boerum Hill,109
Istanbul,Sile,109
Bangkok,Thon buri,109
Istanbul,Eyup,108
Mexico City,Iztacalco,108
Bangkok,Phasi Charoen,108
Rome,IX Eur,108
Rio de Janeiro,Humaita,108
Hong Kong,Wan Chai,108
Bangkok,Bang Phlat,108
Cape Town,Ward 15,107
Bangkok,Bang Sue,107
Istanbul,Umraniye,107
New York,Jamaica,107
New York,Gowanus,107
Istanbul,Bakirkoy,106
Rome,VI Roma delle Torri,106
New York,Theater District,106
Sydney,Lane Cove,105
Sydney,Hurstville,104
Rio de Janeiro,Vila Isabel,104
Istanbul,Kucukcekmece,104
Istanbul,Avcilar,104
Rio de Janeiro,Leme,103
New York,Morningside Heights,103
Cape Town,Ward 84,103
Bangkok,Ratchathewi,103
Cape Town,Ward 58,103
Sydney,Sydney,102
Paris,Vaugirard,101
Mexico City,Iztapalapa,101
Cape Town,Ward 70,101
New York,Chinatown,101
Cape Town,Ward 21,100
Paris,Batignolles-Monceau,99
Mexico City,Azcapotzalco,99
New York,Ditmars Steinway,98
Istanbul,Kartal,98
Sydney,Penrith,97
New York,Flushing,97
New York,East New York,97
Bangkok,Bang Kho laen,97
New York,Sunnyside,97
New York,Ridgewood,93
Rome,XIII Aurelia,93
Mexico City,La Magdalena Contreras,93
New York,Inwood,93
Bangkok,Pra Wet,91
New York,Prospect Heights,91
New York,Park Slope,91
Hong Kong,Yuen Long,91
New York,Fort Greene,91
Bangkok,Bang Rak,90
Rio de Janeiro,Sao Conrado,90
Sydney,Pittwater,89
New York,Kips Bay,89
Sydney,Mosman,89
New York,Brooklyn Heights,88
Istanbul,Pendik,88
Bangkok,Phra Nakhon,88
Bangkok,Pra Wet,88
Cape Town,Ward 53,88
Mexico City,Xochimilco,87
Bangkok,Wang Thong Lang,87
New York,West Village,86
Cape Town,Ward 55,86
Istanbul,Kartal,86
New York,East New York,86
Cape Town,Ward 115,86
Rio de Janeiro,Maracana,85
New York,East Elmhurst,85
New York,Gramercy,84
Rome,VII San Giovanni/Cinecitta,84
Istanbul,Fatih,84
New York,SoHo,84
Istanbul,Sisli,84
Bangkok,Lak Si,83
Rio de Janeiro,Freguesia (Jacarepagua),83
Hong Kong,Sham Shui Po,83
Paris,Passy,83
Bangkok,Bang Khen,82
New York,Little Italy,81
Sydney,Waverley,81
New York,Midtown,81
Paris,Pantheon,81
Rome,I Centro Storico,81
New York,Sheepshead Bay,80
Sydney,Bankstown,80
Istanbul,Bahcelievler,80
Bangkok,Dusit,80
Hong Kong,Islands,80
Cape Town,Ward 21,79
Bangkok,Yan na wa,79
Paris,Palais-Bourbon,79
Paris,Enclos-St-Laurent,78
Istanbul,Kucukcekmece,78
Bangkok,Pom Prap Sattru Phai,77
Rio de Janeiro,Jardim Botanico,76
New York,Inwood,76
Cape Town,Ward 70,76
Bangkok,Bang Rak,76
Bangkok,Ratchathewi,75
Rome,II Parioli/Nomentano,75
Paris,Louvre,75
Cape Town,Ward 69,75
Rio de Janeiro,Urca,74
Bangkok,Wang Thong Lang,74
Istanbul,Beylikduzu,74
Sydney,Liverpool,74
Paris,Buttes-Montmartre,74
Rio de Janeiro,Vila Isabel,73
Istanbul,Sisli,73
New York,Theater District,72
Istanbul,Buyukcekmece,72
New York,Canarsie,72
Sydney,City Of Kogarah,72
New York,Jamaica,71
Rio de Janeiro,Itanhanga,71
Bangkok,Vadhana,69
New York,Nolita,69
New York,Greenwich Village,69
New York,Cypress Hills,69
Bangkok,Phasi Charoen,69
Cape Town,Ward 112,68
Rio de Janeiro,Vidigal,68
Sydney,Hurstville,68
Rio de Janeiro,Joa,67
Rio de Janeiro,Vargem Pequena,67
Paris,Buttes-Chaumont,66
Cape Town,Ward 2,66
New York,Kensington,66
Sydney,Penrith,66
Istanbul,Kadikoy,66
Cape Town,Ward 1,66
Rio de Janeiro,Itanhanga,66
Rio de Janeiro,Maracana,65
New York,Windsor Terrace,65
Sydney,Burwood,65
Rio de Janeiro,Campo Grande,64
Cape Town,Ward 2,64
Sydney,Blacktown,64
Istanbul,Sile,63
Bangkok,Samphanthawong,63
New York,Maspeth,63
Istanbul,Zeytinburnu,62
New York,Bay Ridge,62
Sydney,Liverpool,62
Cape Town,Ward 105,62
Istanbul,Gaziosmanpasa,61
New York,Borough Park,61
New York,Canarsie,61
Rio de Janeiro,Lagoa,60
Istanbul,Adalar,60
New York,Woodside,60
Sydney,Campbelltown,60
Bangkok,Parthum Wan,60
Sydney,Holroyd,60
Bangkok,Bang Khen,60
New York,Flatiron District,59
New York,Jackson Heights,59
Mexico City,Xochimilco,59
New York,South Slope,59
Rio de Janeiro,Vargem Grande,59
New York,Cobble Hill,58
Hong Kong,Sham Shui Po,58
Istanbul,Tuzla,58
Rio de Janeiro,Gavea,58
Cape Town,Ward 85,58
Bangkok,Bang Khae,58
Rio de Janeiro,Catete,57
Rio de Janeiro,Taquara,57
New York,East Elmhurst,57
Rio de Janeiro,Gloria,57
Bangkok,Bangkok Yai,57
Sydney,Strathfield,56
New York,Gowanus,56
Cape Town,Ward 73,56
New York,Battery Park City,56
Rio de Janeiro,Humaita,56
Istanbul,Beykoz,56
New York,Murray Hill,56
Rio de Janeiro,Taquara,55
Hong Kong,Sai Kung,55
Bangkok,Lak Si,55
Rio de Janeiro,Camorim,55
Sydney,Randwick,55
Cape Town,Ward 3,55
New York,Kensington,55
Bangkok,Sathon,54
Rio de Janeiro,Guaratiba,53
New York,Bedford-Stuyvesant,53
Cape Town,Ward 71,53
Hong Kong,North,53
Bangkok,Bang Kho laen,52
Bangkok,Chom Thong,52
Paris,Popincourt,51
Rio de Janeiro,Cosme Velho,51
Cape Town,Ward 5,51
Istanbul,Arnavutkoy,51
Istanbul,Beykoz,51
Cape Town,Ward 8,50
Sydney,Fairfield,50
Mexico City,La Magdalena Contreras,49
Istanbul,Bagcilar,48
New York,Red Hook,48
New York,Forest Hills,48
Rio de Janeiro,Freguesia (Jacarepagua),48
New York,Bay Ridge,48
Istanbul,Gungoren,48
New York,Elmhurst,48
New York,Sheepshead Bay,47
Istanbul,Zeytinburnu,47
New York,Woodhaven,47
Bangkok,Samphanthawong,46
New York,Tribeca,46
New York,Rego Park,46
Bangkok,Lat Phrao,46
Cape Town,Ward 54,46
Bangkok,Phaya Thai,45
Cape Town,Ward 103,45
Rio de Janeiro,Vargem Pequena,45
Bangkok,Bang Khae,45
Paris,Popincourt,45
Bangkok,Bangkok Noi,44
Cape Town,Ward 109,44
New York,Midwood,44
New York,Arverne,44
New York,Forest Hills,44
Rio de Janeiro,Jacarepagua,44
Sydney,Campbelltown,44
New York,Richmond Hill,43
Cape Town,Ward 105,43
Istanbul,Tuzla,43
Bangkok,Don Mueang,43
Rio de Janeiro,Rio Comprido,43
Istanbul,Basaksehir,42
