city,neighbourhood,total_count,average_price
New York,Tribeca,46,148.48
Bangkok,Phaya Thai,45,1260.13
Rio de Janeiro,Vargem Pequena,45,813.16
Bangkok,Bang Khae,45,6331.91
Cape Town,Ward 103,45,1091.16
Paris,Popincourt,45,33.02
Cape Town,Ward 109,44,1341.95
Rio de Janeiro,Jacarepagua,44,239.39
New York,Midwood,44,59.95
Sydney,Campbelltown,44,479.8
Bangkok,Bangkok Noi,44,2404.32
New York,Arverne,44,296.43
New York,Forest Hills,44,186.16
Istanbul,Tuzla,43,272.35
Rio de Janeiro,Rio Comprido,43,209.86
Cape Town,Ward 105,43,1338.02
New York,Richmond Hill,43,65.05
Bangkok,Don Mueang,43,1414.91
New York,Midwood,42,99.52
Istanbul,Basaksehir,42,509.29
New York,Hell's Kitchen,42,104.81
Cape Town,Ward 83,42,803.93
Bangkok,Pom Prap Sattru Phai,41,2056.73
Paris,Bourse,41,275.41
New York,NoHo,41,235.56
New York,Springfield Gardens,41,133.68
New York,Brownsville,41,62.63
Cape Town,Ward 115,41,344.76
Rio de Janeiro,Rio Comprido,40,527.3
Rio de Janeiro,Sao Cristovao,40,469.48
New York,Two Bridges,40,79.43
Paris,Observatoire,40,164.9
Bangkok,Khan Na Yao,40,2448.58
Paris,Enclos-St-Laurent,40,40.75
Bangkok,Chom Thong,39,1159.59
Mexico City,Benito Juarez,39,1918.03
New York,Roosevelt Island,39,81.41
Rio de Janeiro,Estacio,39,142.85
Cape Town,Ward 60,39,557.26
New York,Flatlands,38,121.87
New York,Wakefield,38,92.34
Rio de Janeiro,Sao Cristovao,38,357.66
Sydney,Randwick,38,143.61
Cape Town,Ward 60,38,946.47
Istanbul,Beylikduzu,38,323.32
Rio de Janeiro,Vidigal,38,206.63
Cape Town,Ward 102,38,939.39
Mexico City,Coyoacan,37,1175.62
Paris,Vaugirard,37,51.78
New York,St. Albans,37,93.65
New York,Springfield Gardens,37,68.27
New York,Carroll Gardens,37,117.43
Istanbul,Besiktas,37,534.32
Bangkok,Huai Khwang,37,2494.03
New York,Stuyvesant Town,36,99.19
Istanbul,Arnavutkoy,36,780.22
Sydney,Fairfield,36,129.81
New York,Brighton Beach,36,130.58
Bangkok,Khlong San,36,2391.08
Cape Town,Ward 8,36,578.97
Sydney,Hunters Hill,35,405.31
New York,Rosedale,35,63.74
Bangkok,Bueng Kum,35,1572.17
Rio de Janeiro,Barra de Guaratiba,35,1858.57
Mexico City,Miguel Hidalgo,35,1543.57
Bangkok,Min Buri,35,1037.89
New York,Longwood,35,81.54
Rio de Janeiro,Santa Teresa,35,1707.57
New York,Downtown Brooklyn,35,160.31
New York,Corona,35,56.17
Cape Town,Ward 63,35,420.89
Rio de Janeiro,Vargem Grande,34,213.5
New York,Concourse,34,69.32
Hong Kong,Central & Western,34,740.35
Bangkok,Bangkok Yai,34,2076.94
New York,Rockaway Beach,34,156.91
Rio de Janeiro,Urca,34,336.38
Rio de Janeiro,Centro,33,353.06
New York,Mott Haven,33,123.55
Bangkok,Din Daeng,33,442.09
New York,Queens Village,33,180.97
New York,Lower East Side,33,79.45
Bangkok,Khlong Toei,33,901.67
Bangkok,Min Buri,33,4704.45
New York,Cypress Hills,33,303.52
Rio de Janeiro,Botafogo,33,186.94
New York,Bensonhurst,32,106.38
Paris,Reuilly,32,101.38
New York,Kingsbridge,32,74.53
Sydney,Rockdale,32,79.19
Rio de Janeiro,Cosme Velho,32,256.53
Sydney,Holroyd,32,191.97
Rome,XII Monte Verde,32,44.44
New York,Bushwick,32,40.34
New York,Flatlands,32,74.81
Istanbul,Uskudar,31,159.65
Istanbul,Buyukcekmece,31,346.45
New York,Gravesend,31,118.81
Cape Town,Ward 112,31,855.13
Istanbul,Silivri,31,2198.81
Hong Kong,Yuen Long,31,594.52
Paris,Temple,31,430.9
Paris,Buttes-Montmartre,31,62.42
Bangkok,Saphan Sung,31,1719.29
Bangkok,Phaya Thai,31,738.48
Cape Town,Ward 63,31,890.19
Rio de Janeiro,Pechincha,31,585.77
Cape Town,Ward 5,31,716.23
Rio de Janeiro,Jardim Guanabara,31,132.84
New York,Rego Park,30,160.8
New York,Upper West Side,30,87.77
Mexico City,Miguel Hidalgo,30,514.77
Hong Kong,Sha Tin,30,597.03
Paris,Menilmontant,30,36
Rio de Janeiro,Barra da Tijuca,30,576.53
New York,Glendale,30,46.47
Bangkok,Rat Burana,30,1745.9
Rio de Janeiro,Curicica,30,655.03
Bangkok,Sai Mai,30,846.2
Cape Town,Ward 3,29,726.79
Rio de Janeiro,Alto da Boa Vista,29,6439.66
Bangkok,Khan Na Yao,29,1557.79
New York,Fort Hamilton,29,134.07
Bangkok,Bueng Kum,29,2474
New York,Bensonhurst,29,55.97
Istanbul,Cekmekoy,29,542.28
Bangkok,Dusit,29,8474.83
New York,Fordham,29,64.62
Istanbul,Cekmekoy,29,354.83
New York,Gravesend,29,65
Sydney,Camden,28,84.07
New York,Maspeth,28,142.14
Mexico City,Tlahuac,28,355.21
Rio de Janeiro,Vidigal,28,119.61
Mexico City,Benito Juarez,28,1099.68
Rio de Janeiro,Praca da Bandeira,28,838.86
New York,Richmond Hill,28,136.11
Istanbul,Kagithane,28,134
Hong Kong,Southern,28,1628.14
New York,Mott Haven,28,84.07
Bangkok,Lat Phrao,28,3495.39
Bangkok,Huai Khwang,28,431.18
Istanbul,Kadikoy,27,259
Istanbul,Sancaktepe,27,121.44
Hong Kong,Kowloon City,27,487.07
New York,Boerum Hill,27,95.7
Cape Town,Ward 11,26,501.77
New York,Civic Center,26,244.5
New York,Columbia St,26,199.62
Rio de Janeiro,Guaratiba,26,493.92
Bangkok,Taling Chan,26,1627.23
Hong Kong,Sai Kung,26,1455.85
Rio de Janeiro,Grajau,26,221.81
New York,Rosedale,25,120.12
New York,St. Albans,25,164.44
Rio de Janeiro,Andarai,25,166.6
Cape Town,Ward 60,25,656
New York,Harlem,25,85.84
New York,Claremont Village,25,65.56
Bangkok,Sathon,25,8662.92
New York,South Ozone Park,25,79.12
Bangkok,Rat Burana,25,1086.32
Rio de Janeiro,Estacio,25,350.36
New York,Washington Heights,25,301.64
New York,Port Morris,24,144.17
Cape Town,Ward 46,24,1317.17
Cape Town,Ward 14,24,2425.29
Mexico City,Coyoacan,24,1835.25
Istanbul,Gungoren,24,417.63
New York,Brighton Beach,24,64.92
New York,Williamsbridge,24,61.33
New York,Stuyvesant Town,24,319.17
New York,Norwood,24,90.42
New York,St. George,24,63.25
Cape Town,Ward 86,23,1692.74
Istanbul,Esenler,23,144.04
New York,Upper East Side,23,89.61
New York,Wakefield,23,157.61
Istanbul,Besiktas,23,233.22
New York,Williamsburg,23,100.3
Rio de Janeiro,Recreio dos Bandeirantes,23,389.43
Sydney,Camden,23,180.35
Cape Town,Ward 27,23,447.83
Rio de Janeiro,Anil,23,269.26
New York,Two Bridges,23,135
Istanbul,Esenyurt,23,158.78
Bangkok,Khlong Sam Wa,23,2184.91
Rio de Janeiro,Engenho de Dentro,23,649.3
Rio de Janeiro,Andarai,22,2421.95
New York,Long Island City,22,239.55
New York,Kew Gardens,22,75.91
Istanbul,Bayrampasa,22,216.64
Cape Town,Ward 103,22,761.59
Bangkok,Sai Mai,22,2337.73
Istanbul,Esenler,22,79.32
Rome,V Prenestino/Centocelle,22,31.36
Bangkok,Pom Prap Sattru Phai,22,406.45
New York,Borough Park,22,108.77
Rio de Janeiro,Curicica,21,195.86
New York,Brooklyn Heights,21,162.9
New York,Chelsea,21,73.62
Paris,Passy,21,68.9
Bangkok,Samphanthawong,21,1170.57
Rome,IX Eur,21,111.95
New York,Tompkinsville,21,53.67
Rio de Janeiro,Paqueta,21,401.95
Istanbul,Gaziosmanpasa,21,191.19
Rome,V Prenestino/Centocelle,21,74
Paris,Gobelins,21,250.67
Rio de Janeiro,Barra de Guaratiba,21,348.76
New York,Little Italy,21,83.33
Rio de Janeiro,Jardim Guanabara,21,282.1
New York,Throgs Neck,20,58.1
Cape Town,Ward 9,20,286.3
New York,Windsor Terrace,20,62.7
Rio de Janeiro,Grajau,20,448.9
Rio de Janeiro,Praca da Bandeira,20,179.8
New York,Arverne,20,90.3
Sydney,North Sydney,20,123.5
New York,Fresh Meadows,20,82.45
New York,Woodhaven,20,113.1
Istanbul,Bakirkoy,20,156.9
Rio de Janeiro,Todos os Santos,20,431.7
Paris,Hotel-de-Ville,20,369.35
New York,Ozone Park,20,117.35
Istanbul,Sancaktepe,20,240.85
Hong Kong,Southern,20,893.35
Paris,Gobelins,20,32.4
New York,DUMBO,20,237.25
Rio de Janeiro,Leme,20,234.95
Cape Town,Ward 102,20,533.4
Bangkok,Khlong Sam Wa,20,1432.7
Mexico City,Tlahuac,20,840
New York,SoHo,20,233.95
Rio de Janeiro,Engenho de Dentro,20,274.15
Hong Kong,Kwun Tong,19,522.53
Mexico City,Tlalpan,19,393.26
Paris,Batignolles-Monceau,19,77.16
Istanbul,Bakirkoy,19,347.37
New York,Bayside,19,68.84
Cape Town,Ward 27,19,1719.32
New York,Briarwood,19,533.58
New York,Brownsville,19,190.21
New York,Financial District,19,263.32
New York,East Harlem,19,52.89
New York,Kingsbridge,19,105.21
Sydney,Ryde,19,61.42
Paris,Reuilly,19,42.21
Cape Town,Ward 10,19,608.58
Bangkok,Parthum Wan,19,2460.47
Rio de Janeiro,Pechincha,18,376.06
Istanbul,Avcilar,18,231
Rio de Janeiro,Tijuca,18,275.83
Bangkok,Din Daeng,18,969.83
Cape Town,Ward 67,18,1795.78
New York,Corona,18,48.39
New York,Queens Village,18,51.72
New York,Parkchester,18,73.89
Rio de Janeiro,Anil,18,701.78
Rio de Janeiro,Portuguesa,18,107.44
Istanbul,Atasehir,18,318.39
New York,Middle Village,18,169.78
New York,Concourse,18,104.39
Rome,II Parioli/Nomentano,18,39.56
Hong Kong,North,18,95
New York,Red Hook,18,62.78
New York,Vinegar Hill,18,239.78
Bangkok,Saphan Sung,18,2993.89
Cape Town,Ward 11,18,1153.67
New York,Downtown Brooklyn,18,105.33
Rio de Janeiro,Engenho Novo,18,160.17
New York,Allerton,18,57.72
Bangkok,Taling Chan,18,13748.44
New York,Midtown,18,94.17
New York,St. George,17,112.76
Rio de Janeiro,Iraja,17,292.71
New York,Ozone Park,17,85
Rome,III Monte Sacro,17,77.82
Rio de Janeiro,Santa Teresa,17,208.35
Rio de Janeiro,Copacabana,17,120.71
New York,Laurelton,17,54.06
Rome,VIII Appia Antica,17,56.06
Bangkok,Don Mueang,17,970.12
New York,Hunts Point,17,41.88
Rio de Janeiro,Meier,17,237.29
New York,Glendale,17,98
Bangkok,Thung khru,17,1457.47
Rio de Janeiro,Ipanema,16,245.75
Rome,XV Cassia/Flaminia,16,84.31
Bangkok,Lat Krabang,16,1000.06
New York,Tompkinsville,16,127.13
Rome,VII San Giovanni/Cinecitta,16,35.63
Istanbul,Catalca,16,1461
Cape Town,Ward 26,16,419.94
New York,Morris Park,16,69.25
New York,Concourse Village,16,55.25
New York,Murray Hill,16,91.56
Cape Town,Ward 64,16,872.13
Sydney,Hunters Hill,16,139
New York,Parkchester,16,129.56
Bangkok,Phra Khanong,16,1672.13
Rio de Janeiro,Cachambi,16,357.25
New York,Far Rockaway,16,73.25
Istanbul,Kagithane,16,575.94
New York,Bayside,16,274.06
Cape Town,Ward 14,16,1288.13
Rio de Janeiro,Campo Grande,16,430.5
Cape Town,Ward 23,16,1221.44
Istanbul,Maltepe,15,233.07
New York,Williamsbridge,15,132.47
Bangkok,Chatu Chak,15,1727.2
New York,Kew Gardens Hills,15,123.2
Rio de Janeiro,Bras de Pina,15,127.93
Istanbul,Pendik,15,160.93
Cape Town,Ward 57,15,219
Sydney,Lane Cove,15,60
Bangkok,Pom Prap Sattru Phai,15,1332.47
New York,University Heights,15,44
Bangkok,Bang Khun thain,15,3613.73
Bangkok,Bangkok Noi,15,1113.33
Bangkok,Khlong San,15,670
Hong Kong,Tsuen Wan,15,3092.67
New York,Morris Heights,15,77.53
New York,Fresh Meadows,14,169.5
New York,Hell's Kitchen,14,278.57
New York,West Village,14,116.29
Mexico City,Gustavo A. Madero,14,774.71
Rio de Janeiro,Maracana,14,245.29
Sydney,Parramatta,14,87.29
New York,Briarwood,14,110.43
Rio de Janeiro,Bonsucesso,14,67.21
Rio de Janeiro,Joa,14,350.86
Cape Town,Ward 74,14,12013.07
Cape Town,Ward 61,14,2108.21
New York,West Brighton,14,59.71
Cape Town,Ward 15,14,5958.36
Mexico City,Gustavo A. Madero,14,782
Bangkok,Suanluang,14,1234.93
Rio de Janeiro,Gardenia Azul,14,776.57
Hong Kong,Tuen Mun,14,2803.36
New York,Astoria,14,124.5
Hong Kong,Tuen Mun,14,464.79
Bangkok,Thung khru,14,1997.71
Bangkok,Samphanthawong,14,3012.64
Paris,Temple,14,55.71
New York,Highbridge,14,50.21
New York,Allerton,14,170.5
Istanbul,Sultanbeyli,13,269.69
New York,Flatbush,13,36.92
New York,College Point,13,156.38
Istanbul,Sultangazi,13,573.92
Rio de Janeiro,Alto da Boa Vista,13,369.62
Rio de Janeiro,Ipanema,13,361
New York,Longwood,13,115.62
New York,Bayswater,13,80.54
New York,Flatiron District,13,294.46
Istanbul,Atasehir,13,113.38
Bangkok,Nong Chok,13,3137
Mexico City,Iztacalco,13,369.15
Rio de Janeiro,Flamengo,13,60.15
Rio de Janeiro,Praca Seca,13,99.54
Sydney,Botany Bay,13,137.38
New York,Port Morris,13,21.92
Mexico City,Milpa Alta,13,1682.62
Paris,Observatoire,13,49.92
Hong Kong,Eastern,12,405.17
Istanbul,Kartal,12,5112.67
Paris,Pantheon,12,58.67
Cape Town,Ward 22,12,313.33
Cape Town,Ward 67,12,830.75
Rome,XIV Monte Mario,12,55.75
New York,Pelham Gardens,12,79.92
Istanbul,Kucukcekmece,12,136.67
Cape Town,Ward 56,12,331.83
Hong Kong,Sham Shui Po,12,3105.83
Istanbul,Sariyer,12,345.42
Rio de Janeiro,Sao Francisco Xavier,12,823.83
New York,Cobble Hill,12,104.83
Rio de Janeiro,Engenho Novo,12,686
Sydney,Mosman,12,279.5
New York,Rockaway Beach,12,102.58
Cape Town,Ward 77,12,1254.17
Rio de Janeiro,Paqueta,12,243.17
Sydney,Marrickville,12,35.58
New York,Battery Park City,12,99.58
Rome,XII Monte Verde,12,66.08
Istanbul,Silivri,12,330.75
Istanbul,Bahcelievler,12,226.33
Sydney,Burwood,12,50
New York,Mount Hope,12,50.25
Hong Kong,Kwun Tong,12,980.33
Bangkok,Bang Na,12,2066.67
Rio de Janeiro,Saude,12,242.75
New York,Cambria Heights,12,69.33
Mexico City,A�lvaro Obregon,12,996.5
Hong Kong,Tsuen Wan,11,592.27
Bangkok,Nong Khaem,11,831.91
New York,Howard Beach,11,153.64
New York,Upper West Side,11,341.36
New York,Highbridge,11,104.91
Bangkok,Lak Si,11,2586.18
Mexico City,Cuajimalpa de Morelos,11,1725.09
Hong Kong,Tai Po,11,416.45
Hong Kong,Sha Tin,11,773.18
Rio de Janeiro,Bangu,11,5199.55
New York,Greenpoint,11,48.18
New York,Civic Center,11,85
Rio de Janeiro,Cidade Nova,11,504.36
Sydney,Woollahra,11,36.36
Cape Town,Ward 49,11,394.82
Paris,Hotel-de-Ville,11,112.55
Rio de Janeiro,Penha,11,243.73
New York,Bronxdale,11,53.55
New York,Edenwald,11,107.73
Mexico City,Venustiano Carranza,11,1066.82
Rio de Janeiro,Cachambi,11,107
Bangkok,Thawi Watthana,11,2074.64
Rio de Janeiro,Vila Isabel,11,158
New York,Laurelton,11,116.27
Paris,Buttes-Chaumont,11,353.91
Bangkok,Don Mueang,11,433.64
New York,East Flatbush,11,62.73
New York,Murray Hill,11,995.73
Paris,Elysee,11,45.64
New York,Belmont,11,39.27
Rio de Janeiro,Sao Conrado,11,78.36
New York,College Point,11,60.64
New York,Elmhurst,10,34.3
Mexico City,Iztapalapa,10,609.4
New York,Bergen Beach,10,129.5
New York,Jamaica Estates,10,216.8
New York,Kew Gardens,10,136.9
Istanbul,Bayrampasa,10,311.1
New York,Navy Yard,10,144.5
Cape Town,Ward 6,10,282.5
New York,Throgs Neck,10,118.2
Rio de Janeiro,Cidade Nova,10,132
Mexico City,Milpa Alta,10,1270.2
Hong Kong,Sha Tin,10,379.9
Paris,Bourse,10,57.1
New York,South Ozone Park,10,122.7
Istanbul,Eyup,10,154.2
Cape Town,Ward 100,10,1792.1
New York,Fort Hamilton,10,74.2
Rio de Janeiro,Rocinha,10,65.4
New York,Concord,10,61
Paris,Menilmontant,10,201.5
New York,Clason Point,10,59
Sydney,Canterbury,10,99.8
Rio de Janeiro,Freguesia (Jacarepagua),10,143.8
Rio de Janeiro,Todos os Santos,10,848.5
Paris,Opera,10,46.3
Rome,VIII Appia Antica,10,19.6
Rio de Janeiro,Santa Cruz,10,518.8
New York,Soundview,10,40.3
Hong Kong,Yuen Long,10,473.3
Bangkok,Bang Khun thain,10,4476.2
Hong Kong,Central & Western,10,1335.2
New York,Tremont,10,61.4
Rio de Janeiro,Centro,10,218.9
New York,Hollis,10,63.4
New York,Cambria Heights,10,161.5
New York,Pelham Gardens,10,109.4
New York,DUMBO,10,126.1
Rio de Janeiro,Vila Valqueire,9,203.22
Istanbul,Sultangazi,9,161.56
Rio de Janeiro,Iraja,9,338.11
New York,Mount Hope,9,129.67
Cape Town,Ward 56,9,1711.33
Sydney,Auburn,9,67.78
New York,Schuylerville,9,52.78
New York,Dyker Heights,9,51.11
Cape Town,Ward 43,9,627.78
New York,Kew Gardens Hills,9,60.67
Rio de Janeiro,Rocha,9,508.67
New York,Randall Manor,9,160.56
Rio de Janeiro,Catete,9,216.56
Bangkok,Yan na wa,9,3981.56
New York,Bath Beach,9,110.22
Rio de Janeiro,Saude,9,114.89
Cape Town,Ward 46,9,770.44
New York,Eastchester,9,191.89
New York,Crown Heights,9,69.11
Cape Town,Ward 85,9,808
New York,Bellerose,9,72
Rio de Janeiro,Barra da Tijuca,9,260.44
New York,Grymes Hill,9,165.67
Hong Kong,Wan Chai,9,807.89
New York,Arrochar,9,68.56
New York,Bay Ridge,9,51.11
Istanbul,Adalar,9,489.56
Sydney,Strathfield,9,295.89
Istanbul,Bagcilar,8,258.38
Cape Town,Ward 54,8,775.88
New York,Bath Beach,8,60.5
New York,Financial District,8,77.5
Istanbul,Esenler,8,590.25
Rio de Janeiro,Realengo,8,1144.25
Rio de Janeiro,Meier,8,471.25
Rio de Janeiro,Lins de Vasconcelos,8,221.38
New York,Clason Point,8,115.63
New York,Roosevelt Island,8,270.63
Rio de Janeiro,Riachuelo,8,628.25
Bangkok,Phra Khanong,8,978.5
Istanbul,Kartal,8,665.13
Rio de Janeiro,Rocha,8,199
Rio de Janeiro,Gamboa,8,948.88
Rio de Janeiro,Benfica,8,536.38
Rio de Janeiro,Sao Francisco Xavier,8,228.38
Rio de Janeiro,Encantado,8,376
Rio de Janeiro,Rio Comprido,8,270.25
Rio de Janeiro,Guadalupe,8,258
Rio de Janeiro,Riachuelo,8,164.38
Sydney,Willoughby,8,72.75
Istanbul,Umraniye,8,278.25
Cape Town,Ward 72,8,700
New York,City Island,8,151.88
Mexico City,A�lvaro Obregon,8,1946.38
New York,Pelham Bay,8,147.13
Bangkok,Dusit,8,618
Rio de Janeiro,Rocinha,8,385.63
Rio de Janeiro,Del Castilho,8,358.63
Rio de Janeiro,Tanque,8,387.25
Bangkok,Lat Krabang,8,563.13
New York,Columbia St,8,97.5
Rio de Janeiro,Santo Cristo,8,368.63
Cape Town,Ward 26,8,1940.38
Sydney,Hurstville,8,54.25
Bangkok,Bang Phlat,8,776.88
New York,Baychester,8,104.88
New York,Fieldston,8,63
Rio de Janeiro,Gamboa,7,645.29
Bangkok,Thawi Watthana,7,2173.14
New York,Coney Island,7,98.43
New York,Dyker Heights,7,102.71
New York,Corona,7,149.57
New York,Claremont Village,7,89.29
Rio de Janeiro,Laranjeiras,7,116.14
Sydney,Ashfield,7,50
New York,Morris Park,7,98.43
Cape Town,Ward 109,7,1345.86
New York,East Morrisania,7,79.43
New York,Jamaica Estates,7,288.86
New York,East Village,7,74.14
Bangkok,Nong Khaem,7,1929.29
Rio de Janeiro,Cidade de Deus,7,310.43
New York,Flushing,7,218.29
Rio de Janeiro,Gloria,7,98.71
Rio de Janeiro,Praca Seca,7,493.14
New York,Arrochar,7,126.71
Cape Town,Ward 43,7,375.86
Rio de Janeiro,Vila Valqueire,7,661.29
New York,Lower East Side,7,189.71
New York,Sheepshead Bay,7,32.86
New York,Gowanus,7,102
Rio de Janeiro,Botafogo,7,159.43
Rio de Janeiro,Marechal Hermes,7,872.29
Rio de Janeiro,Tanque,7,201.14
Rio de Janeiro,Bonsucesso,7,316.86
New York,Long Island City,7,114.71
Cape Town,Ward 4,7,1747.86
Mexico City,Cuajimalpa de Morelos,7,802.71
New York,NoHo,7,130
Rome,XIII Aurelia,7,39.71
Rio de Janeiro,Encantado,7,112.43
Rome,VI Roma delle Torri,7,42
New York,Far Rockaway,7,211.14
Bangkok,Bang Kapi,7,600.29
New York,Bronxdale,7,82.43
Rio de Janeiro,Bangu,7,452.29
Rome,IV Tiburtina,7,53.71
Rio de Janeiro,Senador Vasconcelos,6,342.33
New York,Grant City,6,34.67
Cape Town,Ward 19,6,426.17
Rio de Janeiro,Cidade de Deus,6,1163.5
Cape Town,Ward 48,6,1261
New York,Stapleton,6,184.5
Rio de Janeiro,Piedade,6,306.67
New York,Jamaica Hills,6,59.83
Rome,XI Arvalia/Portuense,6,101.67
Rio de Janeiro,Curicica,6,109.83
Cape Town,Ward 64,6,255.83
New York,Stapleton,6,113.17
Cape Town,Ward 86,6,778.33
Bangkok,Bangkok Yai,6,1505
Istanbul,Zeytinburnu,6,83
Paris,Palais-Bourbon,6,63.83
Cape Town,Ward 48,6,641.67
Rio de Janeiro,Penha,6,172
Cape Town,Ward 59,6,1006.67
Hong Kong,Kwai Tsing,6,1095.17
Rio de Janeiro,Maria da Graca,6,86.83
Rio de Janeiro,Paciencia,6,397.83
Rio de Janeiro,Campinho,6,307.5
New York,Hunts Point,6,71.83
Cape Town,Ward 94,6,455.17
Hong Kong,Tai Po,6,1269.83
Rio de Janeiro,Pedra de Guaratiba,6,467.33
New York,Unionport,6,163.5
Rio de Janeiro,Lins de Vasconcelos,6,135.83
New York,Clifton,6,112.83
Paris,Louvre,6,63.83
New York,Mariners Harbor,6,121.83
Rio de Janeiro,Bras de Pina,6,72
